School,Place,Price,Price.with.aid,Pct.need,merit.aided,Earn,SAT,ACT,SAT.ACT,Public
Princeton University,"Princeton, NJ",61300,20600,59,,62800,1510,33,1510 / 33,0
University of Michigan-Ann Arbor,"Ann Arbor, MI",28100,17300,30,16,59000,1380,30,1380 / 30,1
Harvard University,"Cambridge, MA",64800,16500,58,,62900,1510,34,1510 / 34,0
Rice University,"Houston, TX",58600,22400,39,11,63700,1460,33,1460 / 33,0
University of California-Berkeley,"Berkeley, CA",35700,18200,51,6,60300,1360,30,1360 / 30,1
Brigham Young University-Provo,"Provo, UT",18500,13400,39,24,51800,1260,29,1260 / 29,1
Amherst College,"Amherst, MA",66600,16000,58,,53400,1440,32,1440 / 32,1
Cooper Union for the Advancement of Science and Art,"New York, NY",62800,19000,32,55,63200,1360,31,1360 / 31,0
University of Virginia-Main Campus,"Charlottesville, VA",28100,15300,27,3,55400,1360,31,1360 / 31,1
Stanford University,"Stanford, CA",65300,19600,48,,68600,1480,33,1480 / 33,0
Massachusetts Institute of Technology,"Cambridge, MA",63500,24200,56,,74800,1500,34,1500 / 34,0
Yale University,"New Haven, CT",66600,21100,50,,58800,1500,34,1500 / 34,0
Texas A & M University-College Station,"College Station, TX",23900,12800,37,6,55100,1180,26,1180 / 26,1
University of California-San Diego,"La Jolla, CA",32500,14900,58,2,53700,1280,28,1280 / 28,1
University of Florida,"Gainesville, FL",21400,16100,34,6,49700,1270,29,1270 / 29,1
University of California-Irvine,"Irvine, CA",32900,13200,67,2,50600,1130,24,1130 / 24,1
University of California-Davis,"Davis, CA",35100,17700,63,4,51000,1200,26,1200 / 26,1
Virginia Polytechnic Institute and State University,"Blacksburg, VA",26900,20100,32,11,55300,1220,25,1220 / 25,1
University of Maryland-College Park,"College Park, MD",25300,16200,35,13,54500,1310,28,1310 / 28,1
University of California-Los Angeles,"Los Angeles, CA",34300,13600,54,3,52200,1300,28,1300 / 28,1
Clemson University,"Clemson, SC",30300,18300,37,28,53100,1250,29,1250 / 29,1
University of Illinois at Urbana-Champaign,"Champaign, IL",30800,17700,37,12,56800,1360,29,1360 / 29,1
Pomona College,"Claremont, CA",65200,20900,56,,49200,1460,33,1460 / 33,0
California Institute of Technology,"Pasadena, CA",63500,29300,50,,76000,1550,34,1550 / 34,0
Saint Johns University,"Collegeville, MN",52400,26500,66,24,47400,1100,26,1100 / 26,0
University of Pennsylvania,"Philadelphia, PA",66800,24700,47,,60700,1450,32,1450 / 32,0
Vanderbilt University,"Nashville, TN",64800,24200,45,11,58300,1490,33,1490 / 33,0
Earlham College,"Richmond, IN",56700,22400,64,11,45600,1250,29,1250 / 29,0
Washington and Lee University,"Lexington, VA",62500,22600,41,8,53900,1390,32,1390 / 32,0
University of Washington-Seattle Campus,"Seattle, WA",27800,11300,37,4,54000,1230,28,1230 / 28,1
Brown University,"Providence, RI",65200,23100,45,,57500,1440,32,1440 / 32,0
University of Notre Dame,"Notre Dame, IN",65000,29500,43,8,58700,1430,33,1430 / 33,0
Dartmouth College,"Hanover, NH",67800,23200,49,,60200,1460,32,1460 / 32,0
Wellesley College,"Wellesley, MA",63600,23100,62,,49000,1410,31,1410 / 31,0
Georgia Institute of Technology-Main Campus,"Atlanta, GA",25700,13300,39,24,63800,1360,30,1360 / 30,1
College of William and Mary,"Williamsburg, VA",32400,13500,28,6,47400,1370,30,1370 / 30,1
Washington State University,"Pullman, WA",29300,17900,49,11,49200,1030,22,1030 / 22,1
University of Connecticut,"Storrs, CT",29400,20800,41,11,52400,1230,28,1230 / 28,1
Duke University,"Durham, NC",66600,23700,41,3,61600,1460,32,1460 / 32,0
Hamilton College,"Clinton, NY",64300,24400,47,,54800,1390,31,1390 / 31,0
University of California-Santa Cruz,"Santa Cruz, CA",35600,16100,67,6,49600,1100,23,1100 / 23,1
Virginia Military Institute,"Lexington, VA",28100,17700,43,13,56400,1150,25,1150 / 25,1
Massachusetts Maritime Academy,"Buzzards Bay, MA",23600,14400,44,5,58400,1060,22,1060 / 22,1
Bowdoin College,"Brunswick, ME",64100,24300,45,3,48900,1440,32,1440 / 32,0
University of North Carolina at Chapel Hill,"Chapel Hill, NC",26700,11900,43,5,46500,1310,30,1310 / 30,1
Davidson College,"Davidson, NC",63400,24500,48,9,50000,1340,31,1340 / 31,0
College of Saint Benedict,"Saint Joseph, MN",53900,27900,69,24,41800,1060,26,1060 / 26,0
Middlebury College,"Middlebury, VT",63600,22800,42,,49300,1380,32,1380 / 32,0
Williams College,"Williamstown, MA",66600,22100,50,,53100,1450,32,1450 / 32,0
The University of Texas at Austin,"Austin, TX",27400,18300,35,1,53000,1260,28,1260 / 28,1
Purdue University-Main Campus,"West Lafayette, IN",23900,14300,30,12,56200,1200,27,1200 / 27,1
Columbia University in the City of New York,"New York, NY",69300,22700,48,,61300,1480,33,1480 / 33,0
St Mary's University,"San Antonio, TX",41100,18800,77,16,43100,1050,23,1050 / 23,0
University of Delaware,"Newark, DE",27300,16800,41,19,50700,1170,27,1170 / 27,1
Michigan State University,"East Lansing, MI",26400,16100,34,8,49600,1120,26,1120 / 26,1
University of Georgia,"Athens, GA",23600,14500,40,5,47000,1240,28,1240 / 28,1
University of Illinois at Chicago,"Chicago, IL",30700,12600,61,3,51000,1120,24,1120 / 24,1
University of Minnesota-Twin Cities,"Minneapolis, MN",26700,17000,42,7,50500,1300,28,1300 / 28,1
Colgate University,"Hamilton, NY",64900,23600,34,,55800,1370,31,1370 / 31,0
University of North Carolina School of the Arts,"Winston-Salem, NC",23100,13000,56,4,54800,1120,23,1120 / 23,1
Bates College,"Lewiston, ME",65300,24000,44,,46700,1310,28,1310 / 28,0
Maine Maritime Academy,"Castine, ME",26900,19700,61,4,66000,1030,22,1030 / 22,1
University of Wisconsin-Madison,"Madison, WI",25400,17600,30,7,50100,1280,28,1280 / 28,1
Cornell University,"Ithaca, NY",66200,31100,46,,60700,1420,32,1420 / 32,0
Vassar College,"Poughkeepsie, NY",66000,21400,58,,44500,1390,32,1390 / 32,0
College of the Holy Cross,"Worcester, MA",62100,28500,46,1,49500,1380,29,1380 / 29,0
DePauw University,"Greencastle, IN",58200,32200,55,42,47500,1200,27,1200 / 27,0
Wesleyan University,"Middletown, CT",66800,26300,44,1,47000,1390,31,1390 / 31,0
Lafayette College,"Easton, PA",64400,29500,36,9,57800,1280,29,1280 / 29,0
Northwestern University,"Evanston, IL",68200,31200,43,4,56400,1470,33,1470 / 33,0
Claremont McKenna College,"Claremont, CA",66800,26100,38,6,58800,1410,31,1410 / 31,0
Bentley University,"Waltham, MA",61200,34500,44,20,58400,1230,28,1230 / 28,0
Siena College,"Loudonville, NY",50800,27400,73,18,46700,1120,25,1120 / 25,0
Gustavus Adolphus College,"Saint Peter, MN",53600,27300,71,27,43900,1210,27,1210 / 27,0
Wheaton College,"Wheaton, IL",45500,27500,52,21,44100,1320,30,1320 / 30,0
Colby College,"Waterville, ME",63600,20100,38,1,48600,1350,30,1350 / 30,0
Indiana University-Bloomington,"Bloomington, IN",25400,12600,35,29,46600,1180,27,1180 / 27,1
Saint Vincent College,"Latrobe, PA",46100,21300,47,15,45200,1030,23,1030 / 23,0
Harvey Mudd College,"Claremont, CA",69300,36100,50,24,79700,1480,34,1480 / 34,0
University of Vermont,"Burlington, VT",30900,18600,56,27,45400,1190,27,1190 / 27,1
Johns Hopkins University,"Baltimore, MD",66100,27500,43,1,60300,1420,32,1420 / 32,0
Bethel University,"Saint Paul, MN",47700,29000,74,25,43800,1140,25,1140 / 25,0
University of Chicago,"Chicago, IL",70300,37400,45,,52700,1520,34,1520 / 34,0
Georgetown University,"Washington, DC",67100,28100,35,,52900,1410,31,1410 / 31,0
Molloy College,"Rockville Centre, NY",47300,25500,78,7,58900,1060,23,1060 / 23,0
Citadel Military College of South Carolina,"Charleston, SC",27400,19000,45,22,54100,1090,23,1090 / 23,1
Washington University in St Louis,"Saint Louis, MO",69100,36400,39,11,55900,1490,33,1490 / 33,0
Muhlenberg College,"Allentown, PA",59300,38800,50,37,48400,1240,28,1240 / 28,0
Tufts University,"Medford, MA",66000,28500,37,2,55000,1450,32,1450 / 32,0
Michigan Technological University,"Houghton, MI",28100,17000,50,26,63100,1220,27,1220 / 27,1
The University of Texas at Dallas,"Richardson, TX",26100,9900,48,21,50600,1260,28,1260 / 28,1
University of California-Santa Barbara,"Santa Barbara, CA",36200,16300,59,2,49700,1220,27,1220 / 27,1
Wake Forest University,"Winston Salem, NC",65100,28200,33,7,50600,1430,31,1430 / 31,0
The College of New Jersey,"Ewing, NJ",32000,20800,21,8,50500,1240,26,1240 / 26,1
Martin Luther College,"New Ulm, MN",24100,17600,76,15,33200,1220,25,1220 / 25,0
St Lawrence University,"Canton, NY",64100,33700,55,39,49800,1330,28,1330 / 28,0
California State University-Chico,"Chico, CA",23300,12800,50,,48100,1020,22,1020 / 22,1
Union College-Schenectady,"Schenectady, NY",64700,36900,50,29,51200,1310,30,1310 / 30,0
University of Rochester,"Rochester, NY",65800,36000,51,31,53000,1350,31,1350 / 31,0
Swarthmore College,"Swarthmore, PA",65000,24600,51,1,50000,1440,33,1440 / 33,0
McDaniel College,"Westminster, MD",52200,25000,75,22,43000,1110,24,1110 / 24,0
University of Wisconsin-Eau Claire,"Eau Claire, WI",19800,13600,43,5,45600,1120,24,1120 / 24,1
Lehigh University,"Bethlehem, PA",61200,30400,40,6,61600,1320,30,1320 / 30,0
Trinity College,"Hartford, CT",66900,27400,39,3,53400,1250,27,1250 / 27,0
Rutgers University-New Brunswick,"New Brunswick, NJ",31100,17300,38,2,51100,1210,25,1210 / 25,1
California State University-Fresno,"Fresno, CA",21800,6100,65,3,44800,930,19,930 / 19,1
University of Utah,"Salt Lake City, UT",23700,12300,12,24,48400,1130,24,1130 / 24,1
Stevens Institute of Technology,"Hoboken, NJ",63900,34300,53,,65200,1300,30,1300 / 30,0
University of New Hampshire-Main Campus,"Durham, NH",32000,22400,47,15,47600,1100,22,1100 / 22,1
Westfield State University,"Westfield, MA",22600,16900,44,1,45300,1000,20,1000 / 20,1
Babson College,"Wellesley, MA",65000,29900,40,6,60000,1260,28,1260 / 28,0
James Madison University,"Harrisonburg, VA",25000,16100,18,1,49300,1150,25,1150 / 25,1
SUNY at Binghamton,"Vestal, NY",24600,17000,41,3,49400,1300,29,1300 / 29,1
University of Richmond,"University of Richmond, VA",62000,26200,40,17,50000,1310,30,1310 / 30,0
Western Washington University,"Bellingham, WA",24200,16600,38,2,46800,1110,25,1110 / 25,1
Lawrence University,"Appleton, WI",56000,30200,66,36,42500,1330,28,1330 / 28,0
Gettysburg College,"Gettysburg, PA",62800,36300,59,18,47400,1290,28,1290 / 28,0
Gonzaga University,"Spokane, WA",52500,34100,57,40,51000,1190,27,1190 / 27,0
Missouri University of Science and Technology,"Rolla, MO",22700,15700,53,11,63100,1250,28,1250 / 28,1
Elmhurst College,"Elmhurst, IL",49200,23800,72,18,43800,1020,24,1020 / 24,0
Wofford College,"Spartanburg, SC",53600,27000,62,25,45900,1170,27,1170 / 27,0
SUNY College at Brockport,"Brockport, NY",22500,15100,56,2,40900,1060,24,1060 / 24,1
Wabash College,"Crawfordsville, IN",51400,24900,78,22,52400,1240,25,1240 / 25,0
Berea College,"Berea, KY",34800,2200,100,,33100,1130,24,1130 / 24,0
Manhattan College,"Riverdale, NY",56300,32500,67,25,58000,1080,25,1080 / 25,0
Stony Brook University,"Stony Brook, NY",23800,14600,49,9,49800,1250,28,1250 / 28,1
Southern Nazarene University,"Bethany, OK",34800,19200,,,43000,1190,24,1190 / 24,0
North Carolina State University at Raleigh,"Raleigh, NC",23900,14800,46,5,51100,1230,28,1230 / 28,1
Juniata College,"Huntingdon, PA",53300,28200,69,25,42600,1290,27,1290 / 27,0
Ohio State University-Main Campus,"Columbus, OH",26800,19900,40,19,50100,1270,29,1270 / 29,1
California Polytechnic State University-San Luis Obispo,"San Luis Obispo, CA",25700,18300,31,11,58100,1240,28,1240 / 28,1
Iowa State University,"Ames, IA",19800,15100,52,32,50200,1150,25,1150 / 25,1
St Olaf College,"Northfield, MN",55200,30500,66,22,45800,1300,29,1300 / 29,0
Providence College,"Providence, RI",61500,36900,52,18,50400,1160,26,1160 / 26,0
Niagara University,"Niagara University, NY",45300,20900,75,16,39700,1030,23,1030 / 23,0
Stonehill College,"Easton, MA",56400,33900,68,24,46400,1130,25,1130 / 25,0
Mount Mercy University,"Cedar Rapids, IA",41700,22000,74,21,42900,1070,22,1070 / 22,0
Clarkson University,"Potsdam, NY",62300,30900,84,15,61700,1190,26,1190 / 26,0
Colorado School of Mines,"Golden, CO",32700,27400,27,26,65600,1300,29,1300 / 29,1
Saint Francis University,"Loretto, PA",48700,25600,45,18,44300,1020,23,1020 / 23,0
Denison University,"Granville, OH",61100,32100,53,45,46100,1260,29,1260 / 29,0
Worcester Polytechnic Institute,"Worcester, MA",61900,40700,66,32,64100,1380,29,1380 / 29,0
University of California-Riverside,"Riverside, CA",34000,14300,76,2,46300,1090,23,1090 / 23,1
Barnard College,"New York, NY",65800,23800,40,,48500,1340,30,1340 / 30,0
Wayne State College,"Wayne, NE",16500,12300,46,7,37500,1230,25,1230 / 25,1
Mount Holyoke College,"South Hadley, MA",59400,29900,67,13,44300,1360,29,1360 / 29,0
Messiah College,"Mechanicsburg, PA",46000,28500,71,27,44900,1150,26,1150 / 26,0
Emory University,"Atlanta, GA",63800,30700,40,2,52300,1370,31,1370 / 31,0
California State Polytechnic University-Pomona,"Pomona, CA",24900,10700,54,,50800,1070,23,1070 / 23,1
Boston College,"Chestnut Hill, MA",65600,28700,37,2,55200,1360,32,1360 / 32,0
University at Buffalo,"Buffalo, NY",25900,15900,52,1,48000,1160,26,1160 / 26,1
Kenyon College,"Gambier, OH",64700,29100,39,12,45300,1320,30,1320 / 30,0
Bucknell University,"Lewisburg, PA",65600,36100,40,9,57900,1300,30,1300 / 30,0
Arizona State University,"Tempe, AZ",25600,13300,54,20,48900,1150,25,1150 / 25,1
University of Southern California,"Los Angeles, CA",67300,34000,37,18,54600,1380,31,1380 / 31,0
Grinnell College,"Grinnell, IA",61700,27100,70,19,41300,1380,30,1380 / 30,0
Villanova University,"Villanova, PA",63100,35600,45,6,57400,1310,30,1310 / 30,0
Northwest University,"Kirkland, WA",39200,22100,79,12,47000,1060,24,1060 / 24,0
Colorado College,"Colorado Springs, CO",62900,26300,35,8,42700,1330,30,1330 / 30,0
Loyola University Maryland,"Baltimore, MD",62300,36300,52,15,51900,1180,27,1180 / 27,0
Cedar Crest College,"Allentown, PA",48700,19600,92,6,44700,950,21,950 / 21,0
College of Our Lady of the Elms,"Chicopee, MA",47900,23800,85,8,49700,930,19,930 / 19,0
Mount Saint Mary's University,"Los Angeles, CA",54700,29800,86,6,45900,940,19,940 / 19,0
Trinity University,"San Antonio, TX",52600,30400,44,50,43300,1260,29,1260 / 29,0
Fresno Pacific University,"Fresno, CA",39600,17800,70,9,42100,990,20,990 / 20,0
Franklin and Marshall College,"Lancaster, PA",65800,25000,50,1,45200,1450,32,1450 / 32,0
SUNY at Albany,"Albany, NY",24000,15700,54,5,46300,1100,24,1100 / 24,1
University of Wyoming,"Laramie, WY",19400,12900,33,22,49000,1110,25,1110 / 25,1
Carnegie Mellon University,"Pittsburgh, PA",66400,36700,44,4,67100,1440,32,1440 / 32,0
Bloomsburg University of Pennsylvania,"Bloomsburg, PA",23500,17200,41,2,43700,990,21,990 / 21,1
La Salle University,"Philadelphia, PA",56600,27300,80,15,47000,990,22,990 / 22,0
The University of Montana Western,"Dillon, MT",16700,10400,,1,33000,1220,25,1220 / 25,1
University of Portland,"Portland, OR",58500,34200,50,35,52200,1200,25,1200 / 25,0
Case Western Reserve University,"Cleveland, OH",62000,31800,48,33,58200,1380,31,1380 / 31,0
Hobart & William Smith Colleges,"Geneva, NY",64500,39100,65,27,50300,1310,28,1310 / 28,0
Mills College,"Oakland, CA",61700,29900,81,9,47500,1150,26,1150 / 26,0
SUNY College of Environmental Science and Forestry,"Syracuse, NY",25800,19900,65,15,45300,1160,25,1160 / 25,1
California Maritime Academy,"Vallejo, CA",22900,12200,39,,57100,1080,24,1080 / 24,1
Albertus Magnus College,"New Haven, CT",50600,24200,77,1,48000,830,15,830 / 15,0
New Jersey Institute of Technology,"Newark, NJ",35000,16200,60,10,55700,1140,26,1140 / 26,1
Hope College,"Holland, MI",42900,28100,51,27,41600,1200,27,1200 / 27,0
Bradley University,"Peoria, IL",45400,29900,61,19,50300,1140,26,1140 / 26,0
University of Wisconsin-Platteville,"Platteville, WI",19000,14200,31,9,55100,1190,23,1190 / 23,1
Kalamazoo College,"Kalamazoo, MI",54800,28400,66,29,39400,1230,28,1230 / 28,0
University of Maine,"Orono, ME",24000,18000,61,8,48800,1090,24,1090 / 24,1
Fairfield University,"Fairfield, CT",62300,40600,43,35,54000,1280,27,1280 / 27,0
Santa Clara University,"Santa Clara, CA",64100,39900,33,27,60600,1290,29,1290 / 29,0
CUNY Bernard M Baruch College,"New York, NY",29700,8900,46,9,50700,1230,25,1230 / 25,1
George Mason University,"Fairfax, VA",27100,18900,42,5,51500,1150,26,1150 / 26,1
Utah State University,"Logan, UT",18800,13300,57,4,47800,1110,24,1110 / 24,1
University of Arizona,"Tucson, AZ",26200,17100,49,20,50500,1110,24,1110 / 24,1
North Carolina A & T State University,"Greensboro, NC",17300,11100,64,3,50300,900,19,900 / 19,1
Assumption College,"Worcester, MA",51900,29200,77,20,49600,1230,25,1230 / 25,0
University of St. Thomas,"Saint Paul, MN",51600,33400,56,12,47600,1160,26,1160 / 26,0
Southwestern University,"Georgetown, TX",51100,27900,63,35,48100,1170,26,1170 / 26,0
St Mary's College of Maryland,"St. Mary's City, MD",29700,18700,37,24,44800,1220,28,1220 / 28,1
Florida State University,"Tallahassee, FL",22500,18200,35,11,42600,1200,27,1200 / 27,1
University of Idaho,"Moscow, ID",20400,15700,50,18,46400,1070,23,1070 / 23,1
University of Nebraska at Kearney,"Kearney, NE",21400,15900,51,17,39200,970,23,970 / 23,1
University of Iowa,"Iowa City, IA",21700,15600,32,8,46800,1230,27,1230 / 27,1
Edgewood College,"Madison, WI",39800,24100,75,18,47600,1150,23,1150 / 23,0
Skidmore College,"Saratoga Springs, NY",65300,26500,44,1,45500,1240,28,1240 / 28,0
Saint Anselm College,"Manchester, NH",54200,33800,72,23,50000,1150,25,1150 / 25,0
Saint Mary's College,"Notre Dame, IN",51300,28900,57,33,45200,1100,26,1100 / 26,0
Dordt College,"Sioux Center, IA",41700,26400,70,24,45000,1100,25,1100 / 25,0
Westminster College-New Wilmington,"New Wilmington, PA",47700,23600,79,16,37900,1040,23,1040 / 23,0
Auburn University,"Auburn University, AL",30300,20200,28,20,49000,1170,27,1170 / 27,1
Furman University,"Greenville, SC",61400,33400,43,41,45000,1230,28,1230 / 28,0
Texas Tech University,"Lubbock, TX",23300,15200,43,10,51600,1110,25,1110 / 25,1
Pepperdine University,"Malibu, CA",66000,30100,54,21,48100,1240,26,1240 / 26,0
University of Massachusetts Amherst,"Amherst, MA",27900,20500,51,12,49400,1210,27,1210 / 27,1
University of Evansville,"Evansville, IN",47800,23100,64,23,47000,1110,26,1110 / 26,0
Marquette University,"Milwaukee, WI",52300,35900,56,39,51200,1180,27,1180 / 27,0
Beloit College,"Beloit, WI",54400,26400,68,29,37900,1230,27,1230 / 27,0
Macalester College,"Saint Paul, MN",62200,30500,69,10,42600,1340,31,1340 / 31,0
Carleton College,"Northfield, MN",65000,34900,55,6,44800,1430,31,1430 / 31,0
Moravian College and Moravian Theological Seminary,"Bethlehem, PA",53700,28600,83,20,47000,1130,22,1130 / 22,0
San Jose State University,"San Jose, CA",26300,11700,51,,54600,1030,22,1030 / 22,1
Nebraska Wesleyan University,"Lincoln, NE",42600,22900,70,27,41900,1100,24,1100 / 24,0
Pennsylvania State University-Main Campus,"University Park, PA",36000,26400,26,10,53500,1200,27,1200 / 27,1
Rockhurst University,"Kansas City, MO",49500,21500,47,16,47700,1150,26,1150 / 26,0
Linfield College-McMinnville Campus,"McMinnville, OR",51800,28100,61,20,43900,1090,24,1090 / 24,0
University of Redlands,"Redlands, CA",63300,33300,,,46100,1130,25,1130 / 25,0
Lewis University,"Romeoville, IL",42300,20500,73,17,45800,1030,24,1030 / 24,0
University of Wisconsin-Stevens Point,"Stevens Point, WI",17700,12600,42,6,40800,1190,23,1190 / 23,1
Calvin College,"Grand Rapids, MI",44300,28300,61,31,44000,1180,26,1180 / 26,0
North Dakota State University-Main Campus,"Fargo, ND",20700,15500,33,16,49600,1130,24,1130 / 24,1
Cedarville University,"Cedarville, OH",36900,25500,59,26,44900,1180,27,1180 / 27,0
Valparaiso University,"Valparaiso, IN",49700,24000,73,19,47700,1110,26,1110 / 26,0
Tennessee State University,"Nashville, TN",19800,9700,68,4,44300,1020,20,1020 / 20,1
Appalachian State University,"Boone, NC",20200,12500,36,3,40600,1150,26,1150 / 26,1
University of Minnesota-Morris,"Morris, MN",24100,15700,60,12,38900,1200,26,1200 / 26,1
Oregon State University,"Corvallis, OR",25600,17900,43,13,48600,1100,24,1100 / 24,1
Aurora University,"Aurora, IL",35300,18700,66,19,41200,1020,22,1020 / 22,0
